lat_center,lon_center,lat_bin,lon_bin,grid_id,geometry,union,landcover,elev,slope,total_pop,pop_cell,dist_to_coast_km,hazard_score,hazard_class
21.15186655,92.14555042091814,54,22,54_22,POINT (92.14555042091814 21.15186655),palong khali,10,-32768.0,-32768.0,32843,84,3.4754487516508696,0.22344128052659024,4
21.15186655,92.15394610969362,54,23,54_23,POINT (92.15394610969362 21.15186655),palong khali,40,-32768.0,-32768.0,32843,4538,2.5879411684664047,0.2787113704061738,3
21.15186655,92.16234179846911,54,24,54_24,POINT (92.16234179846911 21.15186655),palong khali,10,-32768.0,-32768.0,32843,484,1.7446527712782243,0.3643448127444863,3
21.15186655,92.1707374872446,54,25,54_25,POINT (92.1707374872446 21.15186655),palong khali,40,-32768.0,-32768.0,32843,1559,1.0616695749452842,0.4850437781847459,2
21.15186655,92.17913317602007,54,26,54_26,POINT (92.17913317602007 21.15186655),palong khali,60,-32768.0,-32768.0,32843,2,0.788655519703727,0.5590791457516873,2
21.15186655,92.18752886479558,54,27,54_27,POINT (92.18752886479558 21.15186655),palong khali,80,-32768.0,-32768.0,32843,2129,1.008446180204474,0.497897334693924,2
21.15186655,92.19592455357107,54,28,54_28,POINT (92.19592455357107 21.15186655),palong khali,40,-32768.0,-32768.0,32843,3,0.7042205970436084,0.5867784967126597,2
21.16085955,92.06998922193873,55,13,55_13,POINT (92.06998922193873 21.16085955),palong khali,10,-32768.0,-32768.0,32843,186,0.6111785120792949,0.6206636896550074,2
21.16085955,92.07838491071422,55,14,55_14,POINT (92.07838491071422 21.16085955),palong khali,10,-32768.0,-32768.0,32843,1,1.3263700216557377,0.42985423242699555,2
21.16085955,92.08678059948971,55,15,55_15,POINT (92.08678059948971 21.16085955),palong khali,10,-32768.0,-32768.0,32843,3188,2.0135575215394814,0.33183371906873316,3
21.16085955,92.0951762882652,55,16,55_16,POINT (92.0951762882652 21.16085955),palong khali,10,-32768.0,-32768.0,32843,1617,2.639261759480457,0.2747810039755867,3
21.16085955,92.10357197704069,55,17,55_17,POINT (92.10357197704069 21.16085955),palong khali,10,-32768.0,-32768.0,32843,34,3.2987056006658078,0.23262816598678318,4
21.16085955,92.11196766581618,55,18,55_18,POINT (92.11196766581618 21.16085955),palong khali,10,-32768.0,-32768.0,32843,2190,4.039808864144541,0.1984202232577605,4
21.16085955,92.12036335459166,55,19,55_19,POINT (92.12036335459166 21.16085955),palong khali,10,-32768.0,-32768.0,32843,3758,4.844070275439154,0.17111361651530702,4
21.16085955,92.12875904336715,55,20,55_20,POINT (92.12875904336715 21.16085955),palong khali,10,-32768.0,-32768.0,32843,1726,4.987852878633857,0.16700477120409016,4
21.16085955,92.13715473214263,55,21,55_21,POINT (92.13715473214263 21.16085955),palong khali,10,-32768.0,-32768.0,32843,299,4.08413422967464,0.19669032225059785,4
21.16085955,92.14555042091814,55,22,55_22,POINT (92.14555042091814 21.16085955),palong khali,50,-32768.0,-32768.0,32843,1,3.190447612364217,0.23863799109418005,4
21.16085955,92.15394610969362,55,23,55_23,POINT (92.15394610969362 21.16085955),palong khali,10,-32768.0,-32768.0,32843,114,2.29731034267338,0.3032774886422199,3
21.16085955,92.16234179846911,55,24,55_24,POINT (92.16234179846911 21.16085955),palong khali,40,-32768.0,-32768.0,32843,617,1.4041730729810313,0.41594343237529885,2
21.16085955,92.1707374872446,55,25,55_25,POINT (92.1707374872446 21.16085955),palong khali,90,-32768.0,-32768.0,32843,3501,0.5110358032901948,0.661797687270253,2
21.16085955,92.18752886479558,55,27,55_27,POINT (92.18752886479558 21.16085955),palong khali,60,-32768.0,-32768.0,32843,234,0.07395766721688561,0.9311353980939084,1
21.16085955,92.19592455357107,55,28,55_28,POINT (92.19592455357107 21.16085955),palong khali,40,-32768.0,-32768.0,32843,1249,0.15544667352163002,0.8654661637928719,1
